date,margin_total,margin_kospi,margin_kosdaq,deposit,margin_dep,margin_mcap,margin_val,misu,bandae_amt,bandae_ratio,bandae_amt_ma,bandae_ratio_ma,kospi_idx,kosdaq_idx,kospi_dd,rv20,turn_val,turn_heat,pctl_margin_total,composite_score,etf_nav
20001110,0.180241,0.180241,0.0,7.442016,2.42,0.072,0.06,0.472568,0.0,0.0,0.0,0.0,565.18,808.3,0.0,,3.075232,1.232,,39.0,
20001117,0.180903,0.180903,0.0,7.22216,2.5,0.074,0.06,0.437869,0.0,0.0,0.0,0.0,551.26,806.8,-2.46,,3.080454,1.256,,39.0,
20001124,0.174851,0.174851,0.0,6.744261,2.59,0.075,0.07,0.448847,0.0,0.0,0.0,0.0,530.84,735.0,-6.08,,2.647128,1.128,,37.0,
20001201,0.162382,0.162382,0.0,6.818351,2.38,0.072,0.06,0.419289,0.0,0.0,0.0,0.0,514.46,678.1,-8.97,,2.946797,1.304,,37.0,
20001208,0.151503,0.151503,0.0,6.66455,2.27,0.065,0.06,0.397274,0.0,0.0,0.0,0.0,534.81,684.1,-5.37,39.8,2.627289,1.124,,37.0,
20001215,0.148367,0.148367,0.0,7.08987,2.09,0.064,0.05,0.362287,0.0,0.0,0.0,0.0,534.0,679.4,-5.52,40.7,2.815034,1.208,,37.0,
20001222,0.13983,0.13983,0.0,6.79654,2.06,0.065,0.06,0.389525,0.0,0.0,0.0,0.0,500.6,526.7,-11.43,39.7,2.281805,1.068,,37.0,
20010105,0.129552,0.129552,0.0,6.999321,1.85,0.053,0.03,0.249246,0.0,0.0,0.0,0.0,580.85,625.2,0.0,43.1,4.960706,2.014,,37.0,
20010112,0.126066,0.126066,0.0,8.644008,1.46,0.05,0.02,0.564788,0.0,0.0,0.0,0.0,587.87,713.6,-0.35,47.4,6.106708,2.405,,37.0,
20010119,0.132807,0.132807,0.0,9.001003,1.48,0.05,0.02,0.728568,0.0,0.0,0.0,0.0,619.78,772.1,0.0,43.4,6.007684,2.245,,43.0,
20010126,0.138413,0.138413,0.0,8.930851,1.55,0.053,0.02,0.537783,0.0,0.0,0.0,0.0,591.73,800.4,-5.69,48.8,5.683628,2.188,,43.0,
20010202,0.142285,0.142285,0.0,8.693955,1.64,0.053,0.03,0.667564,0.0,0.0,0.0,0.0,608.48,826.6,-3.02,47.4,4.596642,1.715,,43.0,
20010209,0.144181,0.144181,0.0,8.544798,1.69,0.055,0.03,0.521546,0.0,0.0,0.0,0.0,595.47,807.3,-5.1,45.3,4.33123,1.653,41.9,51.2,
20010216,0.14789,0.14789,0.0,8.928034,1.66,0.055,0.03,0.616826,0.0,0.0,0.0,0.0,604.92,863.2,-3.59,37.4,5.855714,2.184,52.2,54.7,
20010223,0.148592,0.148592,0.0,8.959756,1.66,0.058,0.04,0.737401,0.0,0.0,0.0,0.0,583.52,805.7,-7.0,31.5,4.151134,1.611,56.9,49.3,
20010302,0.151774,0.151774,0.0,8.153165,1.86,0.062,0.04,0.534021,0.0,0.0,0.0,0.0,559.44,719.9,-10.84,28.6,3.431933,1.402,67.1,55.8,
20010309,0.152151,0.152151,0.0,8.145586,1.87,0.061,0.05,0.448077,0.0,0.0,0.0,0.0,565.76,765.6,-9.83,22.6,3.24268,1.3,67.9,46.3,
20010316,0.150707,0.150707,0.0,8.034597,1.88,0.064,0.05,0.49354,0.0,0.0,0.0,0.0,538.67,713.8,-14.15,29.2,3.031513,1.281,58.1,46.5,
20010323,0.151369,0.151369,0.0,7.707873,1.96,0.064,0.04,0.445953,0.0,0.0,0.0,0.0,537.97,706.1,-14.26,27.9,3.391668,1.438,59.3,48.6,
20010330,0.151177,0.151177,0.0,7.63927,1.98,0.066,0.06,0.439849,0.0,0.0,0.0,0.0,523.22,684.3,-16.61,27.4,2.688476,1.173,59.4,46.1,
20010406,0.149968,0.149968,0.0,7.617151,1.97,0.067,0.05,0.390647,0.0,0.0,0.0,0.0,506.22,665.1,-19.32,28.9,2.958803,1.329,46.0,48.1,
20010413,0.146533,0.146533,0.0,7.778263,1.88,0.064,0.06,0.354706,0.0,0.0,0.0,0.0,516.1,686.2,-17.75,25.8,2.594359,1.14,33.3,37.1,
20010420,0.143727,0.143727,0.0,8.215545,1.75,0.059,0.03,0.441753,0.0,0.0,0.0,0.0,556.29,735.0,-11.34,35.4,4.624744,1.892,23.6,43.1,
20010427,0.143742,0.143742,0.0,8.715369,1.65,0.058,0.05,0.52028,0.0,0.0,0.0,0.0,556.63,753.2,-11.29,34.0,2.783149,1.13,27.0,38.4,
20010504,0.142431,0.142431,0.0,8.894269,1.6,0.055,0.03,0.594428,0.0,0.0,0.0,0.0,585.6,804.8,-6.67,32.1,4.598068,1.77,24.4,42.1,
20010511,0.14187,0.14187,0.0,9.068355,1.56,0.055,0.03,0.693506,0.0,0.0,0.0,0.0,583.06,817.2,-7.07,30.4,4.299313,1.654,21.0,40.0,
20010518,0.145056,0.145056,0.0,8.650112,1.68,0.054,0.03,0.580912,0.0,0.0,0.0,0.0,600.54,830.3,-4.29,25.7,4.959725,1.856,38.8,46.4,
20010525,0.148227,0.148227,0.0,9.363812,1.58,0.054,0.03,0.611094,0.0,0.0,0.0,0.0,624.11,834.3,-0.53,25.3,5.063699,1.83,52.2,46.0,
20010601,0.160305,0.160305,0.0,8.84303,1.81,0.06,0.04,0.529853,0.0,0.0,0.0,0.0,607.07,801.1,-3.95,26.9,3.886338,1.444,84.1,54.7,
20010608,0.158217,0.158217,0.0,8.481444,1.87,0.058,0.03,0.520256,0.0,0.0,0.0,0.0,621.78,807.7,-1.62,28.4,4.607794,1.678,81.7,53.2,
20010615,0.168938,0.168938,0.0,8.843823,1.91,0.061,0.05,0.487126,0.0,0.0,0.0,0.0,618.96,824.9,-2.07,29.2,3.619927,1.317,88.4,57.9,
20010622,0.173476,0.173476,0.0,8.186924,2.12,0.065,0.05,0.539515,0.0,0.0,0.0,0.0,599.08,786.0,-5.22,25.1,3.47247,1.306,89.5,57.1,
20010629,0.17494,0.17494,0.0,7.732923,2.26,0.066,0.06,0.436893,0.0,0.0,0.0,0.0,595.13,768.7,-5.84,22.8,2.799221,1.055,89.2,50.3,
20010706,0.176369,0.176369,0.0,7.68512,2.29,0.068,0.08,0.377556,0.0,0.0,0.0,0.0,578.54,740.8,-8.47,18.8,2.336548,0.905,90.7,50.7,
20010713,0.173318,0.173318,0.0,7.849995,2.21,0.07,0.06,0.35789,0.0,0.0,0.0,0.0,548.49,695.8,-13.22,20.6,3.084203,1.255,82.0,50.5,
20010720,0.171021,0.171021,0.0,7.71675,2.22,0.071,0.07,0.391189,0.0,0.0,0.0,0.0,537.71,670.8,-14.93,20.7,2.377904,0.986,77.8,49.7,
20010727,0.16487,0.16487,0.0,7.74763,2.13,0.068,0.07,0.333343,0.0,0.0,0.0,0.0,541.13,674.6,-14.38,23.9,2.528725,1.042,73.3,47.2,
20010803,0.166812,0.166812,0.0,7.851476,2.12,0.065,0.07,0.377908,0.0,0.0,0.0,0.0,568.69,705.8,-10.02,28.2,2.501612,0.981,75.1,54.4,
20010810,0.168312,0.168312,0.0,7.913164,2.13,0.067,0.08,0.40741,0.0,0.0,0.0,0.0,555.34,692.1,-12.14,26.1,2.027817,0.811,76.3,49.2,
20010817,0.168948,0.168948,0.0,7.838607,2.16,0.065,0.06,0.365974,0.0,0.0,0.0,0.0,580.99,691.4,-8.08,25.9,2.839816,1.097,78.4,55.0,
20010824,0.165234,0.165234,0.0,7.609877,2.17,0.066,0.07,0.410853,0.0,0.0,0.0,0.0,569.31,677.8,-9.93,25.4,2.349629,0.938,69.2,46.9,
20010831,0.153023,0.153023,0.0,7.61352,2.01,0.064,0.06,0.36574,0.0,0.0,0.0,0.0,545.11,618.4,-13.76,24.2,2.558856,1.072,54.5,42.6,
20010907,0.147352,0.147352,0.0,7.629701,1.93,0.061,0.06,0.317406,0.0,0.0,0.0,0.0,555.08,631.4,-12.18,25.2,2.674703,1.1,34.6,39.2,
20010914,0.134575,0.134575,0.0,8.387618,1.6,0.065,0.04,0.448239,0.0,0.0,0.0,0.0,482.29,502.1,-23.69,54.5,3.54596,1.715,7.1,46.8,
20010921,0.124388,0.124388,0.0,8.652214,1.44,0.061,0.04,0.379869,0.0,0.0,0.0,0.0,472.31,489.7,-25.27,56.5,2.975745,1.466,2.3,42.1,
20010928,0.121133,0.121133,0.0,8.266541,1.47,0.058,0.04,0.336285,0.0,0.0,0.0,0.0,479.68,516.4,-24.11,56.7,2.794769,1.348,0.5,40.4,
20011005,0.124306,0.124306,0.0,8.347474,1.49,0.057,0.04,0.288965,0.0,0.0,0.0,0.0,501.92,540.7,-20.59,58.0,3.213416,1.481,5.0,47.8,
20011012,0.123302,0.123302,0.0,8.423097,1.46,0.055,0.03,0.417165,0.0,0.0,0.0,0.0,516.4,590.2,-18.3,59.5,3.857757,1.71,5.7,44.8,
20011019,0.125874,0.125874,0.0,8.453448,1.49,0.054,0.04,0.467837,0.0,0.0,0.0,0.0,528.04,620.6,-16.46,25.8,3.117023,1.343,10.3,39.7,
20011026,0.129784,0.129784,0.0,8.388101,1.55,0.054,0.05,0.451934,0.0,0.0,0.0,0.0,543.41,641.0,-14.02,21.5,2.729759,1.127,13.9,35.8,
20011102,0.13271,0.13271,0.0,8.196565,1.62,0.054,0.03,0.429505,0.0,0.0,0.0,0.0,550.57,639.3,-12.89,20.1,4.512345,1.842,18.6,42.9,
20011109,0.131845,0.131845,0.0,8.737153,1.51,0.051,0.03,0.485534,0.0,0.0,0.0,0.0,576.75,671.9,-8.75,17.5,4.064782,1.571,17.4,35.1,
20011116,0.140564,0.140564,0.0,9.179511,1.53,0.052,0.03,0.546027,0.0,0.0,0.0,0.0,610.88,685.0,-3.35,18.3,4.056113,1.49,25.0,40.3,
20011123,0.144092,0.144092,0.0,9.431327,1.53,0.05,0.03,0.605837,0.0,0.0,0.0,0.0,645.18,706.2,0.0,22.6,5.30954,1.852,34.2,45.0,
20011130,0.158988,0.158988,0.0,9.939724,1.6,0.056,0.03,0.834162,0.0,0.0,0.0,0.0,643.89,705.2,-4.55,34.6,5.075714,1.773,70.2,58.3,
20011207,0.181856,0.181856,0.0,10.47414,1.74,0.059,0.03,0.712151,0.0,0.0,0.0,0.0,704.5,728.2,0.0,39.0,5.900297,1.905,98.1,65.9,
20011214,0.197472,0.197472,0.0,10.572767,1.87,0.066,0.04,0.755423,0.0,0.0,0.0,0.0,665.2,739.4,-5.58,45.0,4.415968,1.487,100.0,67.8,
20011221,0.202027,0.202027,0.0,10.03739,2.01,0.07,0.06,0.655398,0.0,0.0,0.0,0.0,644.71,684.3,-8.49,45.8,3.336258,1.157,98.6,66.1,
20011228,0.211931,0.211931,0.0,9.442946,2.24,0.069,0.05,0.504891,0.0,0.0,0.0,0.0,693.7,722.1,-1.53,39.6,3.907113,1.27,100.0,67.7,
20020104,0.217145,0.217145,0.0,10.637114,2.04,0.066,0.04,0.55453,0.0,0.0,0.0,0.0,747.72,754.5,0.0,42.1,5.542976,1.679,99.6,69.3,
20020111,0.224733,0.224733,0.0,11.505506,1.95,0.069,0.04,0.862928,0.0,0.0,0.0,0.0,727.36,750.2,-3.23,35.3,5.545539,1.711,100.0,68.1,
20020118,0.237126,0.237126,0.0,10.605104,2.24,0.075,0.05,0.787075,0.0,0.0,0.0,0.0,708.47,720.2,-5.74,36.1,4.523112,1.433,100.0,69.1,
20020125,0.250701,0.250701,0.0,10.516191,2.38,0.073,0.04,0.633437,0.0,0.0,0.0,0.0,774.68,764.7,0.0,34.2,6.988909,2.026,100.0,72.3,
20020201,0.258133,0.258133,0.0,11.345613,2.28,0.077,0.05,0.864992,0.0,0.0,0.0,0.0,742.42,759.8,-4.85,30.3,5.148972,1.544,99.7,68.6,
20020208,0.263762,0.263762,0.0,10.517304,2.51,0.08,0.07,0.670942,0.0,0.0,0.0,0.0,739.66,728.8,-5.2,28.1,3.754541,1.136,100.0,64.3,
20020215,0.270829,0.270829,0.0,10.506154,2.58,0.078,0.05,0.57006,0.0,0.0,0.0,0.0,783.59,753.0,-1.58,35.6,5.339372,1.529,100.0,70.6,
20020222,0.273029,0.273029,0.0,10.795976,2.53,0.077,0.06,0.797996,0.0,0.0,0.0,0.0,792.0,770.6,-0.53,35.6,4.944877,1.396,98.7,65.1,
20020228,0.285801,0.285801,0.0,10.772533,2.65,0.078,0.05,0.694354,0.0,0.0,0.0,0.0,819.99,787.1,-0.26,34.7,6.039225,1.647,99.7,66.8,
20020308,0.289421,0.289421,0.0,12.171805,2.38,0.078,0.05,0.985754,0.0,0.0,0.0,0.0,825.27,840.9,-2.11,31.9,5.561879,1.49,99.7,68.1,
20020315,0.311983,0.311983,0.0,12.290184,2.54,0.08,0.04,0.969024,0.0,0.0,0.0,0.0,860.36,893.5,0.0,18.3,8.029857,2.054,100.0,67.4,
20020322,0.331847,0.331847,0.0,12.348344,2.69,0.081,0.04,1.288823,0.0,0.0,0.0,0.0,895.98,943.0,0.0,16.8,7.843137,1.919,100.0,66.8,
20020329,0.347266,0.347266,0.0,12.060462,2.88,0.085,0.06,1.174385,0.0,0.0,0.0,0.0,895.58,927.3,-0.76,19.2,5.525459,1.353,100.0,63.2,
20020404,0.352288,0.352288,0.0,12.045605,2.92,0.085,0.06,1.200315,0.0,0.0,0.0,0.0,918.01,882.0,-0.06,22.5,6.238807,1.504,100.0,65.4,
20020412,0.361391,0.361391,0.0,12.032311,3.0,0.091,0.07,1.235483,0.0,0.0,0.0,0.0,875.69,842.4,-4.67,27.9,5.374493,1.355,99.4,66.6,
20020419,0.374416,0.374416,0.0,12.05141,3.11,0.09,0.06,1.120852,0.0,0.0,0.0,0.0,923.94,858.8,-1.46,30.3,6.462576,1.555,99.4,69.1,
20020426,0.383736,0.383736,0.0,11.969515,3.21,0.096,0.08,1.176326,0.0,0.0,0.0,0.0,869.65,767.8,-7.25,33.2,4.685666,1.178,100.0,66.6,
20020503,0.35529,0.352912,0.002378,11.441401,3.11,0.091,0.08,0.890226,0.0,0.0,0.0,0.0,856.72,764.8,-8.63,32.7,4.636827,1.183,95.3,59.7,
20020510,0.379485,0.370503,0.008982,10.969602,3.46,0.1,0.09,0.84559,0.0,0.0,0.0,0.0,817.93,769.9,-12.76,33.7,4.282878,1.132,99.7,65.9,
20020517,0.380957,0.366239,0.014718,10.913031,3.49,0.095,0.08,0.877948,0.0,0.0,0.0,0.0,875.03,794.7,-6.67,33.3,5.078802,1.264,98.9,63.1,
20020524,0.382243,0.363394,0.018849,11.210402,3.41,0.098,0.07,1.000549,0.0,0.0,0.0,0.0,854.57,755.7,-8.86,33.6,5.736103,1.466,98.9,65.2,
20020531,0.373573,0.351482,0.022091,10.204721,3.66,0.102,0.1,0.903523,0.0,0.0,0.0,0.0,796.4,697.8,-15.06,33.0,3.857694,1.057,94.0,58.2,
20020607,0.36309,0.338408,0.024682,10.015012,3.63,0.099,0.11,0.704348,0.0,0.0,0.0,0.0,795.16,697.2,-15.19,30.5,3.173051,0.866,91.5,55.7,
20020614,0.359598,0.332653,0.026945,9.909289,3.63,0.095,0.12,0.614494,0.0,0.0,0.0,0.0,822.01,715.5,-12.33,27.5,3.012561,0.794,89.5,53.6,
20020621,0.341544,0.31286,0.028684,9.703918,3.52,0.095,0.11,0.773314,0.0,0.0,0.0,0.0,778.53,658.1,-16.97,25.1,3.0209,0.844,85.6,51.5,
20020628,0.309467,0.281061,0.028406,9.624571,3.22,0.089,0.09,0.678835,0.0,0.0,0.0,0.0,742.72,608.5,-20.79,39.0,3.539662,1.022,82.3,57.2,
20020705,0.300713,0.271566,0.029147,9.490125,3.17,0.082,0.07,0.515887,0.0,0.0,0.0,0.0,787.83,649.8,-15.97,39.9,4.537413,1.233,81.5,59.1,
20020712,0.295995,0.264416,0.031579,10.218745,2.9,0.08,0.06,0.766393,0.0,0.0,0.0,0.0,792.93,668.2,-15.43,43.9,4.640341,1.249,80.7,59.1,
20020719,0.292384,0.258834,0.03355,10.094998,2.9,0.083,0.06,0.822895,0.0,0.0,0.0,0.0,754.62,631.4,-19.52,42.5,4.534232,1.282,79.5,61.3,
20020726,0.278449,0.244351,0.034098,9.637159,2.89,0.085,0.08,0.720233,0.0,0.0,0.0,0.0,697.84,583.3,-25.57,41.5,3.555192,1.084,75.4,56.4,
20020802,0.274936,0.239383,0.035553,9.319093,2.95,0.084,0.09,0.562425,0.0,0.0,0.0,0.0,700.68,576.0,-25.27,38.9,3.153533,0.958,74.5,54.7,
20020809,0.264561,0.229313,0.035248,9.126472,2.9,0.081,0.08,0.645752,0.0,0.0,0.0,0.0,692.45,562.3,-26.15,36.7,3.458211,1.064,72.3,53.8,
20020816,0.259969,0.224926,0.035043,8.877905,2.93,0.077,0.07,0.545311,0.0,0.0,0.0,0.0,718.29,582.0,-23.39,34.9,3.580429,1.061,70.9,52.7,
20020823,0.248436,0.211543,0.036893,9.532332,2.61,0.071,0.07,0.689964,0.0,0.0,0.0,0.0,740.51,598.5,-21.02,27.5,3.484859,1.0,68.5,47.3,
20020830,0.244503,0.208188,0.036315,9.253382,2.64,0.071,0.07,0.633325,0.0,0.0,0.0,0.0,736.4,591.1,-21.46,21.5,3.362485,0.97,67.9,44.8,
20020906,0.251837,0.213766,0.038071,8.951555,2.81,0.076,0.08,0.756757,0.0,0.0,0.0,0.0,708.73,562.2,-24.41,21.5,3.086851,0.926,69.0,51.7,
20020913,0.245488,0.20899,0.036498,8.906226,2.76,0.073,0.09,0.555163,0.0,0.0,0.0,0.0,718.17,542.8,-23.4,26.1,2.814403,0.839,67.3,46.0,
20020919,0.24528,0.209019,0.036261,8.774622,2.8,0.074,0.11,0.635312,0.0,0.0,0.0,0.0,704.12,536.8,-24.9,29.4,2.206826,0.67,67.4,53.5,
20020927,0.238159,0.202493,0.035666,8.241449,2.89,0.077,0.1,0.659789,0.0,0.0,0.0,0.0,663.72,485.2,-29.21,32.3,2.46567,0.796,63.9,49.0,
20021004,0.228663,0.194671,0.033992,8.155036,2.8,0.075,0.11,0.531839,0.0,0.0,0.0,0.0,650.92,480.2,-30.58,30.6,2.099165,0.69,62.4,47.3,
20021011,0.214121,0.181746,0.032375,8.38403,2.55,0.078,0.08,0.527295,0.0,0.0,0.0,0.0,587.51,436.7,-37.34,36.0,2.79828,1.019,60.3,51.1,
20021018,0.20745,0.176499,0.030951,8.656231,2.4,0.066,0.04,0.619336,0.0,0.0,0.0,0.0,670.79,502.1,-28.46,41.1,4.865929,1.544,58.4,54.3,
20021025,0.206778,0.175456,0.031322,8.919212,2.32,0.067,0.07,0.78849,0.0,0.0,0.0,0.0,655.88,478.6,-30.05,41.4,2.926421,0.953,58.4,50.8,
20021101,0.207003,0.174614,0.032389,8.87476,2.33,0.068,0.08,0.80419,0.0,0.0,0.0,0.0,647.65,476.4,-30.93,43.2,2.50763,0.825,58.0,50.2,
20021108,0.208303,0.176412,0.031891,8.974144,2.32,0.066,0.07,0.711274,0.0,0.0,0.0,0.0,674.85,483.9,-28.02,36.1,2.969115,0.938,59.1,49.0,
20021115,0.208258,0.175679,0.032579,8.685129,2.4,0.066,0.06,0.724027,0.0,0.0,0.0,0.0,672.95,480.1,-28.23,32.6,3.588389,1.137,59.1,49.7,
20021122,0.204118,0.172442,0.031676,8.696834,2.35,0.063,0.05,0.699695,0.0,0.0,0.0,0.0,692.87,484.6,-26.1,29.1,3.730352,1.15,55.3,44.5,
20021129,0.204917,0.172477,0.03244,9.235844,2.22,0.06,0.06,0.786201,0.0,0.0,0.0,0.0,724.8,519.0,-22.7,24.8,3.550323,1.043,55.9,42.7,
